Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,event,type,gene_number,db
Nuclear Receptor Binding (GO:0016922),18/115,0.00305963199045185,3.572070464232473,39.503654188507866,SMARCE1;MED1;TCF7L2;KDM3A;KDM4C;RNF14;WBP2;GTF2H1;ISL1;MED22;MED14;NCOR1;TADA3;MMS19;TRIP12;BRD8;PKN1;TACC2,Rbm24,SE,rmats,1000,GO_Molecular_Function_2023
Methylation-Dependent Protein Binding (GO:0140034),13/68,0.00398304992543262,4.536888643271622,47.671812312409955,KMT2E;MORC3;FMR1;NCAPG2;JMJD7;ING1;PHF20L1;ING3;ZZZ3;MTF2;NCAPD3;ZMYND11;BPTF,Rbm24,SE,rmats,1000,GO_Molecular_Function_2023
Protein Serine/Threonine Kinase Activity (GO:0004674),35/342,0.005547177553258913,2.2084184233177497,21.8835397876548,STK19;IKBKB;AKT2;CHEK2;STK16;PHKG2;TLK2;TLK1;MARK4;MAP3K7;MARK3;MARK2;MAP2K6;SRPK2;NEK9;CHUK;CDC7;VRK1;PASK;PRKAB1;CLK4;ACVR2A;MAPK12;CIT;CLK2;CLK1;BCKDK;MELK;RPS6KB2;SIK3;MAPKAPK5;SIK2;PKN1;CSNK1G2;CAMK1G,Rbm24,SE,rmats,1000,GO_Molecular_Function_2023
GTPase Activator Activity (GO:0005096),25/211,0.005547177553258913,2.5936035290874,25.341824503684382,USP6NL;TBC1D9B;FAM13B;NPRL3;ARHGAP1;AGAP1;ARHGAP17;ASAP1;SYDE1;SH3BP1;CHN1;TBC1D14;BRD8;ECT2;DNM1L;EVI5;RANBP3;RALGAPA1;STARD8;TSC2;RP2;SGSM2;RGS12;DEPDC5;DOCK1,Rbm24,SE,rmats,1000,GO_Molecular_Function_2023
Ubiquitin-Like Protein Transferase Activity (GO:0019787),27/240,0.006040832470551433,2.4475341256170116,23.32864823633991,MARCHF2;RNF14;MGRN1;CUL3;KLHL13;ZNRF1;RNF115;ARIH2;MARCHF8;ARIH1;TRIM21;TRIM23;UBE2F;HACE1;FBXW11;HUWE1;CHFR;RNF146;ITCH;TTC3;MDM2;ERCC8;MDM4;BIRC6;BCOR;TRIM11;BIRC2,Rbm24,SE,rmats,1000,GO_Molecular_Function_2023
Methylated Histone Binding (GO:0035064),12/71,0.013908642220446472,3.899197145405888,33.392687444390724,KMT2E;MORC3;ING3;ZZZ3;FMR1;NCAPG2;MTF2;NCAPD3;JMJD7;ZMYND11;ING1;BPTF,Rbm24,SE,rmats,1000,GO_Molecular_Function_2023
GTPase Regulator Activity (GO:0030695),38/424,0.024778821560302772,1.9048506457832883,14.988752696167623,USP6NL;DENND1C;TBC1D9B;FAM13B;DENND5B;ITSN1;NPRL3;ARHGAP1;AGAP1;ARHGAP17;ASAP1;C9ORF72;RCBTB2;GNA13;AKAP13;SYDE1;HERC2;SH3BP1;CHN1;TBC1D14;BRD8;DNM1L;ECT2;EVI5;ANKRD27;PLEKHG2;RANBP3;RALGAPA1;STARD8;TSC2;GAPVD1;RP2;SGSM2;RAB3GAP2;RGS12;DEPDC5;RGL2;DOCK1,Rbm24,SE,rmats,1000,GO_Molecular_Function_2023
Ubiquitin-Protein Transferase Activity (GO:0004842),37/412,0.025450318797991756,1.9082727587400485,14.763598561686129,MARCHF2;RNF14;MGRN1;CUL3;UBR1;KLHL13;UBE2J1;ZNRF1;RNF115;HERC2;RNF215;RNF138;ARIH2;MARCHF8;TRIM26;ARIH1;TRIM21;TRIM23;HACE1;RING1;FBXW11;FBXO17;MSL2;HUWE1;CHFR;RNF146;ITCH;TTC3;MDM2;ERCC8;MDM4;BIRC6;TRIP12;BCOR;RNF185;BIRC2;TRIM11,Rbm24,SE,rmats,1000,GO_Molecular_Function_2023
Protein Phosphorylation (GO:0006468),53/500,6.315423970660425e-4,2.3229106869922442,35.724118277310644,ATF2;CCNT1;STK19;IKBKB;AKT2;CHEK2;STK16;TLK2;TLK1;ERC1;MAP3K7;PDK1;MORC3;TBP;CHUK;STRADA;STRADB;VRK1;PASK;ATG13;PRKAB1;MELK;CREB1;KIT;SIK3;MAPKAPK5;BIRC6;SIK2;CSNK1G2;CAMK1G;USP15;SRC;CLSPN;MARK4;MARK3;MARK2;SRPK2;UVRAG;CDC7;CLK4;PTK2;ACVR2A;MAPK12;CLK2;BCKDK;CLK1;ABI2;TAF8;COQ8B;PKN1;FGFR3;FGFR2;TAF2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Mitotic Sister Chromatid Segregation (GO:0000070),20/111,8.399579193734029e-4,4.240636914106302,61.068132850494386,CUL3;AKAP8L;NCAPG2;SPICE1;KIF23;WAPL;EML4;WRAP73;STAG1;PRC1;CHEK2;NUSAP1;KNTC1;KMT5A;NCAPD3;PIBF1;LSM14A;CLASP1;DIS3L2;CLASP2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Chromatin Remodeling (GO:0006338),30/228,0.0012709171732153098,2.936894720399875,39.88623414969323,HDAC5;INO80E;KDM5C;USP15;PAXIP1;HP1BP3;CHD6;BAZ2B;CECR2;HPF1;KAT5;MIER1;SMARCAD1;BPTF;KDM6A;SRPK2;SMARCE1;SMARCC2;KDM4C;RING1;KDM2B;PCGF2;ACTR5;ATRX;SIRT2;UCHL5;GATAD2A;MTF2;TRIP12;BCOR,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
DNA Repair (GO:0006281),33/291,0.007667881775255232,2.479040908107068,28.499320131606346,FMR1;PNKP;CIB1;ENDOV;HPF1;KAT5;EME2;CHEK2;NSD2;EP400;RBBP8;PMS2;POLI;KMT5B;MUTYH;UVRAG;SLC30A9;FANCM;ACTR5;XRCC3;ATRX;HUWE1;GTF2H1;RAD23A;FANCE;APTX;INIP;FANCG;RAD52;POLA1;MSH3;ERCC8;MMS19,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Stress Granule Assembly (GO:0034063),8/24,0.00822351903056282,9.568548387096774,107.19650377013805,TIA1;YTHDF3;FMR1;CIRBP;PRRC2C;UBAP2L;C9ORF72;LSM14A,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Regulation Of Chromatin Organization (GO:1902275),8/27,0.018092224430558867,8.056451612903226,82.43522646854552,SETD5;KANSL1;PHF20;TLK2;MSL2;TLK1;MKI67;MLLT3,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Mitotic Spindle Assembly (GO:0090307),10/44,0.021093748066767927,5.634581105169341,55.920710996573675,WRAP73;STAG1;PRC1;CHEK2;SPICE1;KIF23;PIBF1;LSM14A;CLASP1;CLASP2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Phosphorylation (GO:0016310),41/429,0.02141793730595915,2.0508153897423216,20.048303056394943,PANK2;DGKD;CCNT1;STK19;IKBKB;RPTOR;CHEK2;TLK2;TLK1;MARK4;MARK3;MARK2;PDK1;SRPK2;UVRAG;MORC3;TBP;CHUK;SPHK2;STRADA;STRADB;VRK1;PASK;ATG13;PRKAB1;PTK2;ACVR2A;CLK2;BCKDK;MELK;CREB1;SIK3;PI4KA;TAF8;COQ8B;BIRC6;PKN1;SIK2;DGKK;CSNK1G2;TAF2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Protein Ubiquitination (GO:0016567),41/434,0.022810650782756157,2.0241796612777834,19.264713920981855,MARCHF2;CBFB;RNF14;MGRN1;CUL3;UBR1;AMBRA1;KLHL13;DDA1;UBE2J1;ANKRD9;RNF115;HERC2;TNKS2;RNF138;RUSC1;ARIH2;MARCHF8;TRIM26;ARIH1;TRIM21;TRIM23;HACE1;ARRDC1;FBXW11;MSL2;HUWE1;FANCE;FANCG;CHFR;RNF146;UBOX5;ITCH;MDM2;ERCC8;MDM4;BIRC6;TRIP12;RNF185;BIRC2;TRIM11,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Regulation Of DNA Repair (GO:0006282),18/129,0.022810650782756157,3.119227170143667,29.600309698860368,SMARCE1;INO80E;SMARCC2;TMEM161A;MEAF6;EYA2;ACTR5;UCHL5;RAD52;ING3;KAT5;PPP4R2;TADA3;EP400;USP1;TRIP12;BRD8;TAF2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Vesicle-Mediated Transport (GO:0016192),39/411,0.025253377868345965,2.0321909301466885,18.72761056274007,USP6NL;DENND1C;ZFYVE9;MGRN1;STX16;GOSR2;ITSN1;ARHGAP1;C9ORF72;AP3M1;CECR2;GOLGA4;HMGXB4;AP5M1;AP1G1;FHIP1B;CPNE1;ANKFY1;ATP6V1H;RAB11FIP3;TRIM23;RAB2B;UVRAG;STX8;EXOC6B;TSC2;SCRIB;EPS15L1;EPN1;EPN2;BIN3;HOOK2;BIN1;DNAJC5;RAB13;SPIRE1;VPS45;OSBPL1A;CSNK1G2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Internal Peptidyl-Lysine Acetylation (GO:0018393),9/39,0.025253377868345965,5.74268415741675,52.741590235370246,BAG6;ATAT1;PHF20L1;ING3;MEAF6;KAT5;TADA3;EP400;BRD8,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
DNA Damage Response (GO:0006974),37/384,0.025253377868345965,2.0653547242197625,18.84746212854608,ATF2;FMR1;PNKP;HTRA2;CIB1;RPTOR;ENDOV;HPF1;HERC2;KAT5;CHEK2;EP400;TLK2;RBBP8;POLI;KMT5B;BID;MAP2K6;MUTYH;UVRAG;SLF2;DDX11;XRCC3;ATRX;GTF2H1;VRK1;ZDHHC16;USP28;INIP;FANCG;MAPK12;POLA1;MSH3;ERCC8;MMS19;TRIP12;FLYWCH1,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
DNA Metabolic Process (GO:0006259),30/288,0.02630847280922749,2.246703428434428,20.243906932983958,INO80E;FMR1;PNKP;ENDOV;HPF1;CBS;EP400;RBBP8;SMARCAD1;POLI;KMT5B;MUTYH;TOP3B;UVRAG;TCF7L2;ACTR5;XRCC3;TOP3A;ATRX;REV1;LTO1;GTF2H1;TERF2;UCHL5;INIP;FANCG;RAD52;POLA1;MSH3;MMS19,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Protein Polyubiquitination (GO:0000209),25/226,0.03257337196022053,2.3981375175405026,20.778136996127365,CBFB;RNF14;CUL3;UBE2J1;DDA1;ZNRF1;RNF115;TNKS2;RUSC1;ARIH2;MARCHF8;ARIH1;TRIM21;HACE1;FBXW11;HUWE1;RNF146;ITCH;UBOX5;TTC3;MDM2;ERCC8;TRIP12;RNF185;BIRC2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Protein Modification Process (GO:0036211),58/711,0.03257337196022053,1.7299317538195427,14.987018345085577,SETD3;CCNT1;STK19;CDC14B;IKBKB;PPP4R2;AKT2;CHEK2;TLK2;TLK1;ILKAP;PDK1;MORC3;PPP1R12A;TBP;CHUK;STRADA;FBXW11;STRADB;PPP2R5B;ALG3;VRK1;PASK;JMJD7;ATG13;PRKAB1;MELK;CREB1;SIK3;BIRC6;SIK2;CSNK1G2;MEAF6;PPM1M;FUT10;PORCN;ST3GAL5;MARK4;ATG7;MARK3;MARK2;ST3GAL3;B3GALNT2;SRPK2;UBE2F;UVRAG;PTPN1;ICMT;PTPN12;PTPN13;PTK2;ACVR2A;CLK2;BCKDK;TAF8;COQ8B;PKN1;TAF2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Cilium Organization (GO:0044782),25/228,0.0347552234037743,2.374257925982064,20.243752973628144,C2CD3;DYNLT2B;CEP164;ASAP1;CDC14B;ABLIM1;TBC1D31;ARL13B;KIF3A;WDR90;TOGARAM1;TRAPPC14;MAP4;MARK4;IFT57;PIBF1;RAB8B;RFX3;IFT122;CPLANE1;ATAT1;IFT81;RP2;MKS1;CEP20,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Regulation Of Cell Cycle (GO:0051726),30/298,0.0347552234037743,2.1617171872595784,18.177969214790657,INO80E;MEAF6;HTRA2;ING3;KAT5;AKT2;FIGNL1;EP400;RPRD1B;BRD8;MARK4;TRIM21;MAP2K6;PHACTR4;SRPK2;NEK9;ACTR5;TSC2;RAD23A;PUM1;SIRT2;UCHL5;MAPK12;ZZZ3;BIN1;TADA3;MDM2;NF2;FGFR2;BIRC2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Regulation Of Embryonic Development (GO:0045995),11/62,0.0347552234037743,4.1324966791570015,34.707882802887966,BAG6;INO80E;ZZZ3;ACTR5;TADA3;DAG1;TRIP12;PHLDB2;UCHL5;CLASP1;CLASP2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Regulation Of Cell Division (GO:0051302),13/83,0.0347552234037743,3.5618758141554494,29.832062957924826,UVRAG;CIB1;KLHL13;MLLT3;SIRT2;ZZZ3;PRC1;CSPP1;TADA3;BIRC6;ENTR1;RAB11FIP3;FGFR2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Positive Regulation Of Double-Strand Break Repair (GO:2000781),13/84,0.03570435870266219,3.5115230389428773,28.981699990889492,SMARCE1;SMARCC2;SLF2;MEAF6;DDX11;PNKP;ING3;KAT5;EP400;SPIRE1;KMT5B;MMS19;BRD8,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Positive Regulation Of Cell Cycle Process (GO:0090068),16/118,0.03570435870266219,3.012593655348318,24.86331737694636,DDX11;CUL3;XRCC3;NCAPG2;ATRX;WIZ;CDC7;KIF23;SIRT2;CDC14B;CIT;CSPP1;NUSAP1;SASS6;NCAPD3;ECT2,Rbm24,SE,rmats,1000,GO_Biological_Process_2023
Intracellular Membrane-Bounded Organelle (GO:0043231),355/5175,9.097097231608069e-10,1.6191900672263502,42.89987307043948,PANK4;ATF2;PANK2;HDAC10;ZFYVE9;ITSN1;DCAF8;ENO1;RBPJ;MKI67;HERC2;PPP4R2;KAT5;AKT2;CHEK2;CPNE1;DAG1;ANKFY1;UBAP2L;TRIM21;MED1;ESCO1;DDX11;DNTTIP1;CIRBP;RFX3;RFX1;ARMC8;PASK;JMJD7;ISL1;PRKAB1;MED7;NISCH;BIN1;AKAP9;NSMF;SIK2;PAXIP1;MEAF6;SRCAP;DCUN1D1;DCUN1D2;BAZ2B;C9ORF72;UBE2J1;MTDH;FXR1;DHX30;RAB11FIP1;PCBP3;FIGNL1;MIER1;DPH3;VTI1A;PIP5K1A;RAB11FIP3;LYAR;SEC31A;CTSA;SRPK2;ZRANB1;HACE1;TIPARP;DDIAS;STK11IP;XRCC3;INTS2;UPF3B;TMEM192;CDC7;MEMO1;NTAN1;PRDX6;PTK2;WAPL;MLLT10;POLA1;STAG1;GOLGB1;GTF2IRD1;MMS19;RNPS1;PKIG;DENND1C;PHF3;CEP57;RPAIN;SETD5;SLC35F6;SETD6;NCAPG2;TDRP;ZBTB8OS;MED15;ING1;SMG6;MED14;ING3;ZMYM2;ARIH2;CTSH;UBXN7;ARIH1;GABPA;APPL1;TOP3B;GRIPAP1;WDR37;RING1;SPHK2;STRADA;PABPC4;STRADB;TOP3A;TFE3;KIF23;TERF2;SIRT2;UCHL5;SIRT3;MED22;GCFC2;AFTPH;NCOR1;MTF2;ALDOA;SLU7;STX16;CIPC;AKAP8;CENPA;ECPAS;GGA1;ARVCF;FAM172A;RNF138;NSD2;USP1;PMS2;BRD8;TBL1X;APBB3;SRSF11;NKTR;EVC2;CASP8AP2;SLF2;RANBP3;ATAD5;PCGF5;PCGF2;HUWE1;APTX;GATAD2A;RNF146;SEC23IP;ITCH;TTC3;TRIP12;PKN1;SCARB1;DBR1;DGKD;CCNT1;FMR1;PRDM5;CTNND1;FAM107A;UBP1;STK19;PRDM2;CIB1;VIRMA;CDC14B;RBMX2;PAPOLA;SMARCAD1;KMT5B;KNTC1;TRAPPC14;KMT5A;MAP3K7;NEPRO;GTF2I;MORC3;SLC30A9;BORA;TLE1;KDM2B;FBXW11;RALGAPA1;PUS1;IPMK;TSC2;VRK1;CFAP410;THOC7;INIP;MOB3A;ALDH3A2;MSH3;MAPKAPK5;WDFY2;GEMIN8;CSNK1G2;KMT2E;ANKRD16;CUL3;PSEN2;HTRA2;GPATCH2L;BAG6;SBNO1;YBEY;SAFB2;CAMTA1;TBC1D14;RPRD1B;CLSPN;ECT2;PIBF1;BPTF;UBE2F;OSBPL9;TIA1;CPSF7;ANKRD27;POU2F1;BRPF3;CCDC137;LTO1;RFXANK;DNAJC13;MACO1;FANCE;CLK4;AZIN1;CLK2;LSM2;CLK1;UBOX5;DAB2;DLG1;HOOK2;CNOT2;TADA3;MDM2;MDM4;TCF4;NF2;OSBPL1A;MYD88;FGFR2;MDM1;EIF4G1;DIDO1;KDM5C;RNF14;AKAP8L;HP1BP3;CEP164;DDX42;CHD6;UFSP2;RESF1;SENP6;HPF1;AP1G1;PPP6R3;TLK2;TLK1;DNM1L;YAF2;RBM5;ILKAP;KDM6A;SUN1;TBP;DST;ACTR5;ATRX;MSL2;PPP2R5B;RAD23A;TRNAU1AP;ETV4;PTBP2;EPN2;SENP1;ELF2;CREB1;PKM;TFDP2;DNAJC5;SPOPL;BIRC6;DNAJC8;ZMYND11;GAPDH;BIRC2;ITGB3BP;HDAC5;RBM47;KDM3A;USP15;MVK;PPM1M;MGRN1;NAA20;WBP2;PNKP;MOSPD1;WIZ;AMBRA1;MLLT3;CLCN3;UACA;GNA13;CECR2;ZNRF1;SH3BP1;TNKS2;CBS;FAM241B;RSBN1L;RBBP8;DRAM2;MUTYH;SMARCE1;TCF7L2;TAF15;KDM4C;EYA2;SMOX;SWT1;TPRKB;EXOG;PTPN12;MCOLN1;PTPN13;USP28;CHFR;MAPK12;RAD52;KANSL1;PRC1;DOLPP1;TAF8;ERCC8;NAA16;RGS12;BCOR;TAF2;SSBP4,Rbm24,SE,rmats,1000,GO_Cellular_Component_2023
Nucleus (GO:0005634),306/4487,7.720780868504491e-8,1.5627902264050284,33.38178037201128,PANK4;ATF2;PANK2;HDAC10;DCAF8;ENO1;RBPJ;MKI67;HERC2;PPP4R2;KAT5;AKT2;CHEK2;CPNE1;UBAP2L;TRIM21;MED1;ESCO1;DDX11;DNTTIP1;CIRBP;RFX3;ARMC8;PASK;JMJD7;ISL1;PRKAB1;MED7;BIN1;NSMF;SIK2;PAXIP1;MEAF6;SRCAP;DCUN1D1;DCUN1D2;BAZ2B;C9ORF72;UBE2J1;MTDH;FXR1;DHX30;PCBP3;FIGNL1;MIER1;DPH3;PIP5K1A;LYAR;SRPK2;ZRANB1;HACE1;TIPARP;DDIAS;XRCC3;INTS2;UPF3B;TMEM192;CDC7;MEMO1;NTAN1;PRDX6;PTK2;WAPL;MLLT10;POLA1;STAG1;GTF2IRD1;MMS19;RNPS1;PKIG;PHF3;CEP57;RPAIN;SETD5;SETD6;NCAPG2;TDRP;ZBTB8OS;MED15;ING1;SMG6;MED14;ING3;ZMYM2;ARIH2;UBXN7;ARIH1;GABPA;APPL1;TOP3B;WDR37;RING1;SPHK2;STRADA;PABPC4;STRADB;TOP3A;TFE3;KIF23;TERF2;SIRT2;UCHL5;SIRT3;MED22;GCFC2;NCOR1;MTF2;ALDOA;SLU7;CIPC;AKAP8;CENPA;ECPAS;ARVCF;FAM172A;RNF138;NSD2;USP1;PMS2;BRD8;TBL1X;APBB3;SRSF11;NKTR;EVC2;CASP8AP2;SLF2;RANBP3;ATAD5;PCGF5;PCGF2;HUWE1;APTX;GATAD2A;RNF146;TTC3;TRIP12;PKN1;DBR1;DGKD;CCNT1;FMR1;PRDM5;CTNND1;FAM107A;UBP1;STK19;PRDM2;CIB1;VIRMA;CDC14B;RBMX2;PAPOLA;SMARCAD1;KMT5B;KNTC1;KMT5A;MAP3K7;NEPRO;GTF2I;MORC3;SLC30A9;BORA;TLE1;KDM2B;FBXW11;RALGAPA1;PUS1;IPMK;TSC2;VRK1;THOC7;INIP;MOB3A;MSH3;MAPKAPK5;GEMIN8;CSNK1G2;KMT2E;ANKRD16;CUL3;PSEN2;HTRA2;GPATCH2L;BAG6;SBNO1;YBEY;SAFB2;CAMTA1;RPRD1B;CLSPN;ECT2;PIBF1;BPTF;UBE2F;TIA1;CPSF7;POU2F1;BRPF3;CCDC137;LTO1;RFXANK;MACO1;FANCE;CLK4;AZIN1;CLK2;LSM2;CLK1;UBOX5;DLG1;CNOT2;TADA3;MDM2;MDM4;TCF4;NF2;MYD88;FGFR2;MDM1;EIF4G1;DIDO1;KDM5C;RNF14;AKAP8L;HP1BP3;DDX42;CHD6;UFSP2;RESF1;SENP6;HPF1;PPP6R3;TLK2;TLK1;YAF2;RBM5;ILKAP;KDM6A;TBP;DST;ACTR5;ATRX;MSL2;PPP2R5B;RAD23A;TRNAU1AP;ETV4;PTBP2;SENP1;ELF2;CREB1;PKM;TFDP2;SPOPL;BIRC6;DNAJC8;ZMYND11;GAPDH;BIRC2;ITGB3BP;HDAC5;RBM47;KDM3A;USP15;PPM1M;MGRN1;NAA20;WBP2;PNKP;MOSPD1;WIZ;AMBRA1;MLLT3;UACA;GNA13;CECR2;SH3BP1;TNKS2;CBS;RSBN1L;RBBP8;MUTYH;SMARCE1;TCF7L2;TAF15;KDM4C;EYA2;SWT1;TPRKB;EXOG;PTPN12;PTPN13;USP28;CHFR;MAPK12;RAD52;KANSL1;PRC1;TAF8;ERCC8;NAA16;RGS12;BCOR;TAF2;SSBP4,Rbm24,SE,rmats,1000,GO_Cellular_Component_2023
Mitotic Spindle (GO:0072686),22/143,2.4327356094157912e-4,3.509760178471835,45.274030322241835,CUL3;CDC7;KIF23;WAPL;HAUS2;SIRT2;CDC14B;EML4;ATAT1;WRAP73;ZZZ3;NCOR1;TFDP2;TADA3;NUSAP1;TRAPPC14;MAP4;TBL1X;ECT2;LSM14A;CLASP1;CLASP2,Rbm24,SE,rmats,1000,GO_Cellular_Component_2023
Spindle (GO:0005819),26/210,0.0011196769139309001,2.72975627176145,29.673222309043947,CUL3;CDC14B;KIF3A;CSPP1;NUSAP1;TRAPPC14;MAP4;TBL1X;ECT2;CLASP1;CLASP2;SPICE1;CDC7;KIF23;WAPL;SIRT2;EML4;ATAT1;WRAP73;ZZZ3;NCOR1;TFDP2;PRC1;TADA3;MMS19;LSM14A,Rbm24,SE,rmats,1000,GO_Cellular_Component_2023
INO80-type Complex (GO:0097346),8/25,0.0011196769139309001,9.005218216318786,97.8149593808557,INO80E;ING3;SRCAP;KAT5;ACTR5;EP400;BRD8;UCHL5,Rbm24,SE,rmats,1000,GO_Cellular_Component_2023
Swr1 Complex (GO:0000812),5/12,0.0088793329149685,13.634601579325198,117.38060104686151,ING3;KAT5;SRCAP;EP400;BRD8,Rbm24,SE,rmats,1000,GO_Cellular_Component_2023
trans-Golgi Network (GO:0005802),25/241,0.01927234381137489,2.2298195631528963,17.124853312467682,USP6NL;PI4K2B;STX16;PCSK7;ATP2C1;ECPAS;TEPSIN;GGA1;GOLGA4;AP1G1;VTI1A;ARFIP1;PLEKHJ1;CLASP2;STX8;COG2;TRAPPC9;PHETA1;TJAP1;HOOK2;SLC9A8;RAB13;RELCH;BIRC6;LGR5,Rbm24,SE,rmats,1000,GO_Cellular_Component_2023
Nuclear Chromosome (GO:0000228),13/95,0.031963197632605925,3.0386981985321375,21.393901102400164,SMARCE1;INO80E;SRCAP;ACTR5;NCAPG2;UCHL5;ING3;KAT5;FIGNL1;EP400;RGS12;BRD8;NCAPD3,Rbm24,SE,rmats,1000,GO_Cellular_Component_2023
Cytoplasmic Stress Granule (GO:0010494),11/76,0.043566814194610747,3.240024889165435,21.426248257441664,RPTOR;FXR1;TIA1;YTHDF3;FMR1;PABPC4;CIRBP;PUM1;C9ORF72;LSM14A;EIF4G1,Rbm24,SE,rmats,1000,GO_Cellular_Component_2023
Early Endosome (GO:0005769),28/307,0.048015535943144755,1.93293213564022,12.390866933416834,PI4K2B;ZFYVE9;MGRN1;SNX13;CLCN3;ECPAS;GGA1;AP3M1;RUSC1;AP1G1;RPS6KC1;MARCHF8;ANKFY1;ENTR1;APPL1;PLEKHJ1;UVRAG;PTPN1;MON2;ANKRD27;MMGT1;STX8;DNAJC13;PHETA1;ITCH;WDFY2;NF2;ATP13A3,Rbm24,SE,rmats,1000,GO_Cellular_Component_2023
RNA Binding (GO:0003723),38/1411,0.0011612400070516108,2.433953519168377,29.96495296305057,TOP2A;RBM26;YTHDC1;CELF1;FASTKD3;CSTF2;SRRT;PSIP1;MSI1;YARS2;TENT4B;GIGYF2;RAD51AP1;RBM3;ALKBH1;PCBP2;KHDC4;RBM12;SEC63;CAST;PTCD3;CPSF4;RBFOX2;DDX11;ALG13;NOSIP;HELZ;PPRC1;SCAF4;PTBP2;SRRM1;ATXN2L;SON;CCDC9;RPUSD3;GEMIN5;DNA2;TARDBP,Rpl22l1,A3SS,rmats,247,GO_Molecular_Function_2023
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),16/367,0.02062523836184596,3.8286651619984955,42.708859839868985,NDFIP2;FBXW5;RNF13;SMURF1;RAD23A;FBXO21;ANKRD9;BAG6;UBE2W;COPS3;PSMA3;KCTD10;PCBP2;ZSWIM8;TRIP12;RNF111,Rpl22l1,A3SS,rmats,247,GO_Biological_Process_2023
Post-Transcriptional Regulation Of Gene Expression (GO:0010608),6/57,0.0277315382693955,9.61776909934098,91.80459373214526,RBM3;CELF1;YTHDC1;GEMIN5;MSI1;GIGYF2,Rpl22l1,A3SS,rmats,247,GO_Biological_Process_2023
Regulation Of Cell Cycle (GO:0051726),13/298,0.0277315382693955,3.794931773879142,35.30485645055847,TSC2;HTRA2;RAD23A;HCFC1;ING4;STK11;SON;MRGBP;E4F1;TARDBP;DLGAP5;FGFR2;CDKN3,Rpl22l1,A3SS,rmats,247,GO_Biological_Process_2023
DNA Damage Response (GO:0006974),15/384,0.0277315382693955,3.3964115503223997,31.55686820570086,TOP2A;MUS81;DDX11;OGG1;PRKCD;HTRA2;FANCG;FOXP1;RAD51AP1;STK11;MSH3;ALKBH1;WAC;TRIP12;HDGFL2,Rpl22l1,A3SS,rmats,247,GO_Biological_Process_2023
Proteasomal Protein Catabolic Process (GO:0010498),11/220,0.0277315382693955,4.358608385370205,40.3150936339833,ANKRD9;BAG6;UBE2W;PSMA3;FBXW5;KCTD10;SMURF1;PCBP2;ZSWIM8;TRIP12;RAD23A,Rpl22l1,A3SS,rmats,247,GO_Biological_Process_2023
Regulation Of Amide Metabolic Process (GO:0034248),5/41,0.034561683014225915,11.316000918273646,100.11307300546702,RBM3;PRKCD;GEMIN5;MSI1;PICALM,Rpl22l1,A3SS,rmats,247,GO_Biological_Process_2023
Nucleus (GO:0005634),83/4487,0.003794593801697867,1.7638718127644493,18.109740064700524,PANK4;TOP2A;MUS81;SETD5;RBM26;CELF1;OGG1;WDR4;EHMT1;PSIP1;ING4;RBM3;STK11;ALKBH1;SUFU;PPP6R3;PAPOLA;RNF111;DLGAP5;TLE3;PBRM1;RBFOX2;DDX11;AKTIP;PRKCD;NCOA4;TSC2;NOSIP;LIG3;RAD23A;PPRC1;PTBP2;SRRM1;HCFC1;SIRT3;FOXP1;NCOR2;PSMA3;CCNE2;TFDP2;MSH3;WAC;GEMIN5;DNA2;HDGFL2;HDAC5;MYRF;YTHDC1;PSEN2;HTRA2;LENG8;MAT2B;HIF1A;BAG6;RAD51AP1;SBNO1;IRAK1;HAUS8;ZNHIT6;PCBP2;APBB2;KHDC4;UBE2F;NFYA;PCGF5;CDC7;CDC6;WAPL;SCAF4;BLTP1;SMARCA4;CLK2;UBE2W;COPS3;COPS2;RSRP1;GTF2IRD1;TRIP12;TCF3;TARDBP;FGFR2;CDKN3;PICALM,Rpl22l1,A3SS,rmats,247,GO_Cellular_Component_2023
